pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Begünstigung, Strafvereitelung (ohne Strafvereitelung im Amt), Hehlerei und Geldwäsche §§ 257, 258, 259-261 StGB darunter:;Andere Vermögensdelikte
Begünstigung, Strafvereitelung und Hehlerei §§ 257-260 StGB darunter:;Andere Vermögensdelikte
Begünstigung, Strafvereitelung und Hehlerei §§ 257-260a StGB darunter:;Andere Vermögensdelikte
Begünstigung, Strafvereitelung, Hehlerei und Geldwäsche §§ 257-261 StGB darunter:;Andere Vermögensdelikte
Beleidigung auf sexueller Grundlage §§ 185-187, 189 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Beleidigung §§ 185-187, 189 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Beleidigung §§ 185-187, 189 StGB darunter:;Andere Straftaten gegen die Person (ohne Verkehr)
Beraubung von Taxifahrern;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Bereitstellung von Geldmitteln oder anderen Vermögensgegenständen § 29 Abs. 1 Nr. 13 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Bereitstellung von Geldmitteln oder anderen Vermögenswerte § 29 Abs. 1 Nr. 13 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Bereitstellung von Geldmitteln oder anderen Vermögenswerte § 29 Abs. 1 Nr. 4 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Beschädigung, Zerstörung oder Veränderung von Kulturgut § 83 Abs. 3 KGSG;Straftaten nach anderen Bundes- u. Landesgesetzen
Besitz/Verschaffung von Jugendpornographie § 184c Abs. 2 und 4 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Besitz/Verschaffung von Kinderpornographie § 184 Abs. 5 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Besitz/Verschaffung von Kinderpornographie § 184b Abs. 2 und 4 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Besonders schwerer Fall des Bankrotts § 283a StGB;Andere Vermögensdelikte
Bestechlichkeit - gewerbsmäßig oder als Mitglied einer Bande § 335 Abs. 2 Nr. 3 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechlichkeit -gewerbsmäßig oder als Mitglied einer Bande nach § 335 Abs. 2 Ziff. 3 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechlichkeit im Gesundheitswesen;Andere Vermögensdelikte
Bestechlichkeit und Bestechung im geschäftlichen Verkehr und im Gesundheitswesen §§ 299, 299a, 299b und 300 StGB;Andere Vermögensdelikte
Bestechlichkeit und Bestechung im geschäftlichen Verkehr §§ 299, 300 StGB;Andere Vermögensdelikte
Bestechlichkeit und Bestechung im geschäftlichen Verkehr §§ 299, 300 StGB davon:;Andere Vermögensdelikte
Bestechlichkeit und Bestechung § 299 StGB;Andere Vermögensdelikte
Bestechlichkeit und Bestechung, Vorteil großen Ausmaßes § 300 Satz 2 Nr. 1 StGB;Andere Vermögensdelikte
Bestechlichkeit und Bestechung, gewerbsmäßig oder als Mitglied einer Bande § 300 Satz 2 Nr. 2 StGB;Andere Vermögensdelikte
Bestechlichkeit § 332 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
