pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Gebrauch falscher Zahlungskarten mit oder ohne Garantiefunktion, Schecks und Wechsel §§ 152a, 152b StGB;Urkundenfälschung
Gebrauch falscher Zahlungskarten mit oder ohne Garantiefunktion, Schecks, Wechsel und anderer körperlicher unbarer Zahlungsinstrumente §§ 152a, 152b StGB;Urkundenfälschung
Gebrauch falscher Zahlungskarten oder Vordrucke für Euroschecks;Urkundenfälschung
Gefährdung schutzbedürftiger Gebiete § 329 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;Gefährliche und schwere Körperverletzung
Gefährliche und schwere Körperverletzung §§ 224, 226, 231 StGB darunter:;Gefährliche und schwere Körperverletzung
Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;Gefährliche und schwere Körperverletzung
Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geiselnahme i.V.m. Raubüberfall auf Geldinstitute und Poststellen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geiselnahme i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geiselnahme i.V.m. Raubüberfall auf sonstige Zahlstellen und Geschäfte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geiselnahme § 239b StGB;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geiselnahme § 239b StGB darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geld- und Werttransporte darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geld- und Werttransporte davon:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geld- und Wertzeichenfälschung einschl. Vorbereitungshandlungen §§ 146 außer Abs. 1 Nr. 3, 148, 149 StGB;Urkundenfälschung
Geld- und Wertzeichenfälschung einschl. Vorbereitungshandlungen §§ 146 außer Abs. 1 Nr. 3, 148, 149, 151, 152 StGB;Urkundenfälschung
Geld- und Wertzeichenfälschung einschl. Vorbereitungshandlungen §§ 146 außer Abs. 1 Ziff. 3, 148, 149 StGB;Urkundenfälschung
Geld- und Wertzeichenfälschung einschl. Vorbereitungshandlungen §§ 146, 148, 149 StGB;Urkundenfälschung
Geld- und Wertzeichenfälschung, Fälschung von Vordrucken für Euroschecks und Euroscheckkarten §§ 146-149, 151, 152, 152a StGB darunter:;Diebstahl und Unterschlagung
Geld- und Wertzeichenfälschung, Fälschung von Zahlungskarten mit oder ohne Garantiefunktion, Schecks und Wechseln §§ 146-149, 151, 152, 152a, 152b StGB;Urkundenfälschung
Geld- und Wertzeichenfälschung, Fälschung von Zahlungskarten mit oder ohne Garantiefunktion, Schecks und Wechseln §§ 146-149, 151, 152, 152a, 152b StGB darunter:;Diebstahl und Unterschlagung
Geld- und Wertzeichenfälschung, Fälschung von Zahlungskarten mit oder ohne Garantiefunktion, Schecks, Wechseln und anderen körperlichen unbaren Zahlungsinstrumenten sowie die Vorbereitung des Diebstahls und der Unterschlagung §§ 146-149, 151, 152, 152a, 152b, 152c StGB;Diebstahl und Unterschlagung
Geld- und Wertzeichenfälschung, Fälschung von Zahlungskarten und Vordrucken für Euroschecks §§ 146-149, 151, 152, 152a StGB darunter:;Diebstahl und Unterschlagung
Geldinstitute, Poststellen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Geldkreditbetrug;Betrug
Geldkreditbetrug davon:;Betrug
Geldwäsche § 261 StGB;Andere Vermögensdelikte
Geldwäsche, Verschleierung unrechtmäßig erlangter Vermögenswerte § 261 StGB;Andere Vermögensdelikte
Geldwäsche, Verschleierung unrechtmäßiger Vermögenswerte § 261 StGB;Andere Vermögensdelikte
Gemeingefährliche Vergiftung § 314 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Geschäftsmäßige Förderung der Selbsttötung;Mord und Totschlag
Gewaltdarstellung § 131 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Gewaltdarstellung § 131 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Gewaltdarstellung, Aufstachelung zum Rassenhass § 131 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Gewaltdarstellung, Inhalte an Personen unter 18 Jahren § 131 Abs. 1 Nr. 1b StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Gewaltdarstellung, Schriften an Personen unter 18 Jahren § 131 Abs. 1 Nr. 3 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Gewaltkriminalität;Andere Straftaten gegen die Person (ohne Verkehr)
Gewerbs- oder bandemäßiger Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 Abs. 3 mit Verweis auf § 232 Abs. 3 Nr. 3 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Gewerbs- oder bandenmäßiger Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 Abs.3 Nr. 3 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Gewerbs- und bandenmäßige Verleitung zur missbräuchlichen Asylantragstellung § 84a Asylgesetz;Straftaten nach dem Aufenthaltsgesetz
Gewerbs- und bandenmäßige Verleitung zur missbräuchlichen Asylantragstellung § 84a Asylverfahrensgesetz;Straftaten nach dem Aufenthaltsgesetz
Gewerbs- und bandenmäßiges Einschleusen von Ausländern § 97 Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Gewerbsmäßige Bandenhehlerei von Kfz § 260a StGB;Diebstahl und Unterschlagung
Gewerbsmäßige Hehlerei von Kfz § 260 Abs. 1 Nr. 1 StGB;Diebstahl und Unterschlagung
Gewässerverunreinigung § 324 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Gläubigerbegünstigung § 283c StGB;Andere Vermögensdelikte
Glücksspiel §§ 284, 284a, 286 StGB;Straftaten nach dem StGB (ohne Verkehr)
Glücksspiel §§ 284, 285, 287 StGB;Straftaten nach dem StGB (ohne Verkehr)
Großviehdiebstahl;Diebstahl und Unterschlagung
Grundstücks- und Baubetrug;Betrug
Handtaschenraub;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Hausfriedensbruch § 123 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Hausfriedensbruch §§ 123, 124 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Hausfriedensbruch §§ 123, 124 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Hehlerei von Kfz §§ 259-260 StGB;Diebstahl und Unterschlagung
Hehlerei von Kfz §§ 259-260 StGB darunter:;Diebstahl und Unterschlagung
Hehlerei von Kfz §§ 259-260a StGB;Diebstahl und Unterschlagung
Hehlerei von Kfz §§ 259-260a StGB darunter:;Diebstahl und Unterschlagung
Herbeiführen einer Explosion durch Kernenergie § 307 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Herbeiführen einer Sprengstoffexplosion § 308 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Herbeiführen einer Sprengstoffexplosion § 311 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Homosexuelle Handlungen § 175 StGB;Vergewaltigung
Illegale Ausfuhr von Kulturgut § 83 Abs. 1 Nr. 1, 2 und Abs. 2 KGSG;Straftaten nach anderen Bundes- u. Landesgesetzen
Illegale Einfuhr von Kulturgut § 83 Abs. 1 Nr. 3 KGSG;Straftaten nach anderen Bundes- u. Landesgesetzen
Illegale Verbringung gefährlicher Abfälle § 18a AbfVerbrG;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Illegale Verbringung nichtgefährlicher Abfälle § 18b AbfVerbrG;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Illegaler Aufenthalt nach Ausländergesetz;Straftaten nach dem Aufenthaltsgesetz
Illegaler Aufenthalt § 95 Abs. 1 Nr. 1, 2 und Abs. 2 Nr. 1b Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Illegaler Handel mit Kulturgut § 83 Abs. 1 Nr. 4, 5 und Abs. 5 KGSG;Straftaten nach anderen Bundes- u. Landesgesetzen
Insolvenzstraftaten;Andere Vermögensdelikte
Insolvenzstraftaten gemäß StGB und Nebenstrafrecht (Wikri);Andere Vermögensdelikte
Insolvenzstraftaten §§ 283, 283a-d StGB;Andere Vermögensdelikte
Insolvenzstraftaten §§ 283, 283a-d StGB davon:;Andere Vermögensdelikte
Insolvenzverschleppung § 15a InsO;Andere Vermögensdelikte
Insolvenzverschleppung § 84 GmbH-Gesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Insolvenzverschleppung §§ 130b, 177a HGB;Andere Vermögensdelikte
Inverkehrbringen von Falschgeld § 147 StGB;Urkundenfälschung
Inverkehrbringen von Falschgeld §§ 146 Abs. 1 Nr. 3, 147 StGB;Urkundenfälschung
Inverkehrbringen von Falschgeld §§ 146 Abs. 1 Nr. 3, 147, 151, 152 StGB;Urkundenfälschung
Inverkehrbringen von Falschgeld §§ 146 Abs. 1 Ziff. 3, 147 StGB;Urkundenfälschung
Inverkehrbringen, Erwerb und Besitz von Sexpuppen mit kindlichem Erscheinungsbild § 184l StGB;Straftaten gegen die sexuelle Selbstbestimmung
Jagdwilderei § 292 StGB;Straftaten nach dem StGB (ohne Verkehr)
Kapitalanlage- und Anlagebetrug;Betrug
Kapitalanlagebetrug § 264a StGB;Betrug
Karten für Geldausgabe bzw. Kassenautomaten;Betrug
Kautions- und Beteiligungsbetrug darunter:;Betrug
Kautionsbetrug;Betrug
Kinderhandel § 236 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Kindstötung § 217 StGB;Mord und Totschlag
Kindstötung § 217 StGB (einschl. der unaufgeklärten Fälle der Tötung neugeborener Kinder);Mord und Totschlag
Konkursstraftaten §§ 283, 283a-d StGB davon:;Andere Vermögensdelikte
Konkursverschleppung § 84 GmbHG;Straftaten nach anderen Bundes- u. Landesgesetzen
Konkursverschleppung §§ 130b, 177a HGB;Andere Vermögensdelikte
Kontoeröffnungs- und Überweisungsbetrug;Betrug
Kreditbetrug § 263 StGB;Betrug
Kreditbetrug § 265b StGB;Betrug
Kreditbetrug § 265b StGB (im geschäftlichen Verkehr);Betrug
Krediterlangungsbetrug § 263 StGB;Betrug
Kreditvermittlungsbetrug;Betrug
Kreditvermittlungsbetrug § 263 StGB;Betrug
Körperverletzung im Amt § 340 StGB;Körperverletzung
Körperverletzung mit Todesfolge §§ 227, 231 StGB;Körperverletzung
Körperverletzung mit tödlichem Ausgang §§ 226, 227, 229(2) StGB;Körperverletzung
Körperverletzung §§ 223-227, 229, 230 StGB darunter:;Körperverletzung
Körperverletzung §§ 223-227, 229, 231 StGB;Körperverletzung
Körperverletzung §§ 223-227, 229, 231 StGB davon:;Körperverletzung
Ladendiebstahl insgesamt;Diebstahl und Unterschlagung
Landfriedensbruch §§ 125, 125a StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Leichtfertige Verursachung des Todes eines Anderen durch Abgabe pp. von Betäubungsmitteln § 30 Abs. 1 Nr. 3 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Leistungsbetrug;Betrug
Leistungskreditbetrug;Betrug
Leistungskreditbetrug §§ 263, 263a StGB;Betrug
Luftverunreinigung § 325 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Lärmverursachung § 325 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Menschenhandel 180b StGB;Straftaten gegen die sexuelle Selbstbestimmung
Menschenhandel insgesamt;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel z.N.v. Kindern zum Zweck der Ausbeutung der Arbeitskraft § 233 Abs. 3 mit Verweis auf § 232 Abs. 3 Nr. 1 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel z.N.v. Kindern zum Zweck der sexuellen Ausbeutung § 232 Abs.3 Nr. 1 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 Abs. 1 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 Abs. 3 mit Verweis auf § 232 Abs. 3 Nr. 2 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 Abs. 3 mit Verweis auf § 232 Abs. 4 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 Abs. 1 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 Abs. 4 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 Abs.3 Nr. 2 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenhandel § 181 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Menschenhandel §§ 180b Abs.1, 180b Abs. 2 Nr. 1, 181 Abs. 1 Nr. 2, 3 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Menschenhandel §§ 180b, 181 Abs. 1 Nr. 2, 3 StGB davon:;Straftaten gegen die sexuelle Selbstbestimmung
Menschenhandel, Zwangsprostitution, Zwangsarbeit, Ausbeutung der Arbeitskraft und Ausbeutung unter Ausnutzung einer Freiheitsberaubung §§ 232, 232a, 232b, 233, 233a StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenraub § 234 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenraub, Kindesentziehung, Entführung §§ 234, 235, 236 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Menschenraub, Kindesentziehung, Entführung §§ 234, 235-237 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Missbrauch ionisierender Strahlen § 309 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Missbrauch von Scheck- und Kreditkarten § 266b StGB;Andere Vermögensdelikte
Missbräuchliche Nutzung von Telekommunikationsdiensten § 263a StGB;Betrug
Misshandlung von Kindern;Andere Straftaten gegen die Person (ohne Verkehr)
Misshandlung von Schutzbefohlenen § 223b StGB darunter:;Andere Straftaten gegen die Person (ohne Verkehr)
Misshandlung von Schutzbefohlenen § 225 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Misshandlung von Schutzbefohlenen § 225 StGB darunter:;Andere Straftaten gegen die Person (ohne Verkehr)
Mord im Zusammenhang mit Raubdelikten;Mord und Totschlag
Mord im Zusammenhang mit Sexualdelikten;Mord und Totschlag
Mord § 211 StGB;Mord und Totschlag
Mord § 211 StGB darunter:;Mord und Totschlag
Mord, Totschlag und Tötung auf Verlangen;Mord und Totschlag
Nachmachen, Verfälschen, Verschaffen, Feilhalten oder Überlassen falscher Zahlungskarten mit oder ohne Garantiefunktion, Schecks und Wechsel §§ 152a, 152b StGB;Urkundenfälschung
Nachmachen, Verfälschen, Verschaffen, Feilhalten oder Überlassen falscher Zahlungskarten mit oder ohne Garantiefunktion, Schecks, Wechsel und anderer körperlicher unbarer Zahlungsinstrumente §§ 152a, 152b StGB;Urkundenfälschung
Nachmachen, Verfälschen, Verschaffen, Feilhalten oder Überlassen falscher Zahlungskarten oder Vordrucke für Euroschecks;Urkundenfälschung
Nachstellung (Stalking) § 238 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 238, 239, 240, 241 StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Nötigung § 240 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Prospektbetrug (Kapitalanlagebetrug) § 264a StGB;Betrug
Prospektbetrug § 264a StGB;Betrug
Provisionsbetrug;Betrug
Raub zur Erlangung von Betäubungsmitteln;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Geld- und Kassenboten;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Geld- und Werttransporte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen davon:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Spezialgeldtransportfahrzeuge;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Spielhallen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen Tankstellen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raubmord;Mord und Totschlag
Raubüberfälle auf Postagenturen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raubüberfälle auf Postfilialen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Raubüberfälle in Wohnungen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst);Straftaten nach dem Betäubungsmittelgesetz
Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst) davon:;Straftaten nach dem Betäubungsmittelgesetz
Rauschgiftkriminalität darunter:;Straftaten nach dem Betäubungsmittelgesetz
Rauschgiftkriminalität insgesamt und direkte Beschaffungskriminalität darunter:;Straftaten nach dem Betäubungsmittelgesetz
Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;Andere Straftaten gegen die Person (ohne Verkehr)
Räuberischer Angriff auf Kraftfahrer § 316a StGB;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Räuberischer Angriff auf Kraftfahrer § 316a StGB darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Sachbeschädigung an Kfz;Straftaten nach dem StGB (ohne Verkehr)
Sachbeschädigung durch Graffiti insgesamt;Straftaten nach dem StGB (ohne Verkehr)
Sachbeschädigung §§ 303-305a StGB;Straftaten nach dem StGB (ohne Verkehr)
Sachbeschädigung §§ 303-305a StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Scheckkarten;Betrug
Schecks;Urkundenfälschung
Scheinehe nach §§ 47, 47a AuslG;Betrug
Schriften an Personen unter 18 Jahren § 131 Abs. 1 Ziff. 3 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Schuldnerbegünstigung § 283d StGB;Andere Vermögensdelikte
Schwere Gefährdung durch Freisetzen von Giften § 330a StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Schwerer Diebstahl an/aus Kraftfahrzeugen;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dergleichen;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus Boden-, Kellerräumen und Waschküchen;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus Gaststätten, Kantinen, Hotels und Pensionen;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern und Schaukästen darunter:;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen darunter:;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten und Baustellen;Diebstahl und Unterschlagung
Schwerer Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen;Diebstahl und Unterschlagung
Schwerer Diebstahl von Antiquitäten, Kunst- und sakralen Gegenständen;Diebstahl und Unterschlagung
Schwerer Diebstahl von Betäubungsmitteln aus Apotheken;Diebstahl und Unterschlagung
Schwerer Diebstahl von Betäubungsmitteln aus Arztpraxen;Diebstahl und Unterschlagung
Schwerer Diebstahl von Betäubungsmitteln aus Krankenhäusern;Diebstahl und Unterschlagung
Schwerer Diebstahl von Betäubungsmitteln bei Herstellern und Großhändlern;Diebstahl und Unterschlagung
Schwerer Diebstahl von Fahrrädern;Diebstahl und Unterschlagung
Schwerer Diebstahl von Kraftwagen;Diebstahl und Unterschlagung
Schwerer Diebstahl von Mopeds und Krafträdern;Diebstahl und Unterschlagung
Schwerer Diebstahl von Rezeptformularen zur Erlangung von Betäubungsmitteln;Diebstahl und Unterschlagung
Schwerer Diebstahl von Schusswaffen;Diebstahl und Unterschlagung
Schwerer Diebstahl von unbaren Zahlungsmitteln;Diebstahl und Unterschlagung
Schwerer Diebstahl von/aus Automaten;Diebstahl und Unterschlagung
Schwerer Hausfriedensbruch § 124 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Schwerer Ladendiebstahl;Diebstahl und Unterschlagung
Schwerer Menschenhandel § 181 Abs. 1 Nr. 2 und 3 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Schwerer Sexueller Missbrauch von Kindern - Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176c Abs. 1 Nr. 2 StGB;Sexueller Missbrauch von Kindern
Schwerer sexueller Missbrauch von Kindern - Herstellung und Verbreitung pornographischer Inhalte § 176c Abs. 2 StGB;Sexueller Missbrauch von Kindern
Schwerer sexueller Missbrauch von Kindern - mit schwerer körperlicher Misshandlung oder Gefahr des Todes § 176c Abs. 3 StGB;Sexueller Missbrauch von Kindern
Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen  § 176c Abs. 1 Nr. 1, 3, 4  StGB;Sexueller Missbrauch von Kindern
Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen gem. § 176c StGB;Sexueller Missbrauch von Kindern
Schwerer sexueller Missbrauch von Kindern - sonstige Begehungsweisen § 176c Abs. 1 Nr. 1, 3, 4 StGB;Sexueller Missbrauch von Kindern
Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornografischer Schriften § 176a Abs. 3 StGB;Sexueller Missbrauch von Kindern
Sexualdelikte unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 177, 178 StGB;Vergewaltigung
Sexualmord;Mord und Totschlag
Sexuelle Belästigung § 184i StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;Sexueller Missbrauch von Kindern
Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;Sexueller Missbrauch von Kindern
Sexuelle Übergriffe § 177 Abs. 1, 2, 3, 4, 7, 8 und 9 StGB;Vergewaltigung
Sexueller Missbrauch Widerstandsunfähiger § 179 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch von Jugendlichen § 182 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch von Kindern - Einwirken auf Kind durch pornographischen Inhalt oder entsprechende Reden § 176a Abs. 1 Nr. 3 StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern - Einwirken auf Kind zur Vorbereitung sex. Missbrauchs  § 176b Abs. 1 StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern - Einwirken auf Kind zur Vorbereitung sex. Missbrauchs § 176b Abs. 1 StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3   i.V.m. Absatz 3 StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;Sexueller Missbrauch von Kindern
"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2  StGB";Sexueller Missbrauch von Kindern
"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern - Täter bestimmt Kind, sexuelle Handlungen an sich selbst vorzunehmen § 176a Abs 1 Nr. 2 StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern - sexuelle Handlungen an Kind/durch Kind vornehmen lässt § 176 Abs 1 Nr. 1 und 2 StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern mit Todesfolge § 176d StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB darunter:;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB davon:;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Kindern §§ 176-176e StGB;Sexueller Missbrauch von Kindern
Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB darunter:;Straftaten gegen die sexuelle Selbstbestimmung
