jahr;straftat_bezeichnung;nationalitaet;verurteilte
1985;Diebstahl und Unterschlagung;Deutsch;632100
1985;Diebstahl und Unterschlagung;Gesamt;725064
1985;Gefährliche und schwere Körperverletzung;Nichtdeutsch;7324
1985;Gefährliche und schwere Körperverletzung;Deutsch;48988
1985;Gefährliche und schwere Körperverletzung;Gesamt;56312
1985;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;2584
1985;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Deutsch;34216
1985;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Gesamt;36800
1985;Körperverletzung;Nichtdeutsch;7056
1985;Körperverletzung;Deutsch;56992
1985;Körperverletzung;Gesamt;64048
1985;Mord und Totschlag;Nichtdeutsch;656
1985;Mord und Totschlag;Deutsch;2596
1985;Mord und Totschlag;Gesamt;3252
1985;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Nichtdeutsch;4124
1985;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Deutsch;22440
1985;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Gesamt;26564
1985;Schwerer Diebstahl;Nichtdeutsch;16812
1985;Schwerer Diebstahl;Deutsch;143812
1985;Schwerer Diebstahl;Gesamt;160624
1985;Sexueller Missbrauch von Kindern;Nichtdeutsch;556
1985;Sexueller Missbrauch von Kindern;Deutsch;5124
1985;Sexueller Missbrauch von Kindern;Gesamt;5680
1985;Straftaten gegen den Staat,die öffentliche Ordnung;Nichtdeutsch;6456
1985;Straftaten gegen den Staat,die öffentliche Ordnung;Deutsch;67936
1985;Straftaten gegen den Staat,die öffentliche Ordnung;Gesamt;74392
1985;Straftaten gegen die sexuelle Selbstbestimmung;Nichtdeutsch;2576
1985;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;18584
1985;Straftaten gegen die sexuelle Selbstbestimmung;Gesamt;21160
1985;Straftaten im Straßenverkehr;Nichtdeutsch;87464
1985;Straftaten im Straßenverkehr;Deutsch;983068
1985;Straftaten im Straßenverkehr;Gesamt;1070532
1985;Straftaten im Straßenverkehr nach dem StGB;Nichtdeutsch;68292
1985;Straftaten im Straßenverkehr nach dem StGB;Deutsch;839304
1985;Straftaten im Straßenverkehr nach dem StGB;Gesamt;907596
1985;Straftaten insgesamt;Nichtdeutsch;333576
1985;Straftaten insgesamt;Deutsch;2546120
1985;Straftaten insgesamt;Gesamt;2879696
1985;Straftaten nach anderen Bundes- u. Landesgesetzen;Nichtdeutsch;67552
1985;Straftaten nach anderen Bundes- u. Landesgesetzen;Deutsch;236804
1985;Straftaten nach anderen Bundes- u. Landesgesetzen;Gesamt;304356
1985;Straftaten nach dem Aufenthaltsgesetz;Nichtdeutsch;7434
1985;Straftaten nach dem Aufenthaltsgesetz;Deutsch;532
1985;Straftaten nach dem Aufenthaltsgesetz;Gesamt;7966
1985;Straftaten nach dem Betäubungsmittelgesetz;Nichtdeutsch;12168
1985;Straftaten nach dem Betäubungsmittelgesetz;Deutsch;57572
1985;Straftaten nach dem Betäubungsmittelgesetz;Gesamt;69740
1985;Straftaten nach dem StGB (ohne Verkehr);Nichtdeutsch;178560
1985;Straftaten nach dem StGB (ohne Verkehr);Deutsch;1326248
1985;Straftaten nach dem StGB (ohne Verkehr);Gesamt;1504808
1985;Straftaten nach dem Straßenverkehrsgesetz;Nichtdeutsch;19172
1985;Straftaten nach dem Straßenverkehrsgesetz;Deutsch;143764
1985;Straftaten nach dem Straßenverkehrsgesetz;Gesamt;162936
1985;Straftaten ohne Straftaten im Straßenverkehr;Nichtdeutsch;246112
1985;Straftaten ohne Straftaten im Straßenverkehr;Deutsch;1563052
1985;Straftaten ohne Straftaten im Straßenverkehr;Gesamt;1809164
1985;Urkundenfälschung;Nichtdeutsch;10804
1985;Urkundenfälschung;Deutsch;52460
1985;Urkundenfälschung;Gesamt;63264
1985;Vergewaltigung;Nichtdeutsch;932
1985;Vergewaltigung;Deutsch;3788
1985;Vergewaltigung;Gesamt;4720
1985;Verletzung der Unterhaltspflicht;Nichtdeutsch;960
1985;Verletzung der Unterhaltspflicht;Deutsch;19000
1985;Verletzung der Unterhaltspflicht;Gesamt;19960
1986;Andere Straftaten gegen die Person (ohne Verkehr);Nichtdeutsch;24656
1986;Andere Straftaten gegen die Person (ohne Verkehr);Deutsch;192876
1986;Andere Straftaten gegen die Person (ohne Verkehr);Gesamt;217532
1986;Andere Vermögensdelikte;Nichtdeutsch;53688
1986;Andere Vermögensdelikte;Deutsch;364268
1986;Andere Vermögensdelikte;Gesamt;417956
1986;Betrug;Nichtdeutsch;15136
1986;Betrug;Deutsch;176984
1986;Betrug;Gesamt;192120
1986;Diebstahl;Nichtdeutsch;78776
1986;Diebstahl;Deutsch;421644
1986;Diebstahl;Gesamt;500420
1986;Diebstahl und Unterschlagung;Nichtdeutsch;99692
1986;Diebstahl und Unterschlagung;Deutsch;588388
1986;Diebstahl und Unterschlagung;Gesamt;688080
1986;Gefährliche und schwere Körperverletzung;Nichtdeutsch;7708
1986;Gefährliche und schwere Körperverletzung;Deutsch;46036
1986;Gefährliche und schwere Körperverletzung;Gesamt;53744
1986;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;2452
1986;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Deutsch;32636
1986;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Gesamt;35088
1986;Körperverletzung;Nichtdeutsch;7380
1986;Körperverletzung;Deutsch;58196
1986;Körperverletzung;Gesamt;65576
1986;Mord und Totschlag;Nichtdeutsch;644
1986;Mord und Totschlag;Deutsch;2176
1986;Mord und Totschlag;Gesamt;2820
1986;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Nichtdeutsch;4364
1986;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Deutsch;21572
1986;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Gesamt;25936
1986;Schwerer Diebstahl;Nichtdeutsch;18360
1986;Schwerer Diebstahl;Deutsch;133288
1986;Schwerer Diebstahl;Gesamt;151648
1986;Sexueller Missbrauch von Kindern;Nichtdeutsch;544
1986;Sexueller Missbrauch von Kindern;Deutsch;5100
1986;Sexueller Missbrauch von Kindern;Gesamt;5644
1986;Straftaten gegen den Staat,die öffentliche Ordnung;Nichtdeutsch;7336
1986;Straftaten gegen den Staat,die öffentliche Ordnung;Deutsch;65568
1986;Straftaten gegen den Staat,die öffentliche Ordnung;Gesamt;72904
1986;Straftaten gegen die sexuelle Selbstbestimmung;Nichtdeutsch;2724
1986;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;17644
1986;Straftaten gegen die sexuelle Selbstbestimmung;Gesamt;20368
1986;Straftaten im Straßenverkehr;Nichtdeutsch;87876
1986;Straftaten im Straßenverkehr;Deutsch;951732
1986;Straftaten im Straßenverkehr;Gesamt;1039608
1986;Straftaten im Straßenverkehr nach dem StGB;Nichtdeutsch;70016
1986;Straftaten im Straßenverkehr nach dem StGB;Deutsch;823404
1986;Straftaten im Straßenverkehr nach dem StGB;Gesamt;893420
1986;Straftaten insgesamt;Nichtdeutsch;354900
1986;Straftaten insgesamt;Deutsch;2466492
1986;Straftaten insgesamt;Gesamt;2821392
1986;Straftaten nach anderen Bundes- u. Landesgesetzen;Nichtdeutsch;72112
1986;Straftaten nach anderen Bundes- u. Landesgesetzen;Deutsch;231808
1986;Straftaten nach anderen Bundes- u. Landesgesetzen;Gesamt;303920
1986;Straftaten nach dem Aufenthaltsgesetz;Nichtdeutsch;7508
1986;Straftaten nach dem Aufenthaltsgesetz;Deutsch;548
1986;Straftaten nach dem Aufenthaltsgesetz;Gesamt;8056
1986;Straftaten nach dem Betäubungsmittelgesetz;Nichtdeutsch;12640
1986;Straftaten nach dem Betäubungsmittelgesetz;Deutsch;55940
1986;Straftaten nach dem Betäubungsmittelgesetz;Gesamt;68580
1986;Straftaten nach dem StGB (ohne Verkehr);Nichtdeutsch;194912
1986;Straftaten nach dem StGB (ohne Verkehr);Deutsch;1282952
1986;Straftaten nach dem StGB (ohne Verkehr);Gesamt;1477864
1986;Straftaten nach dem Straßenverkehrsgesetz;Nichtdeutsch;17860
1986;Straftaten nach dem Straßenverkehrsgesetz;Deutsch;128328
1986;Straftaten nach dem Straßenverkehrsgesetz;Gesamt;146188
1986;Straftaten ohne Straftaten im Straßenverkehr;Nichtdeutsch;267024
1986;Straftaten ohne Straftaten im Straßenverkehr;Deutsch;1514760
1986;Straftaten ohne Straftaten im Straßenverkehr;Gesamt;1781784
1986;Urkundenfälschung;Nichtdeutsch;12856
